#,entity_code,entity_name,license_number,bill_date,etin,brand_name,package_size,package_type,Plan Id,sold_qty
50,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-17,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,130
51,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-18,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,177
52,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-19,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,132
53,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-20,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,149
54,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-21,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,159
55,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-22,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,137
56,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-23,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,204
57,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-24,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022326,131
58,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-25,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022120,169
59,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-26,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022120,135
60,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-27,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022986,43
