#,indent_number,bottling_plan_id,plan_created_date,etin,code_type,dispatch_date,tp_reference_number,from_entity_code,from_entity_name,to_entity_code,to_entity_name,brand_name,package_size,package_type,dispatched_cases,dispatched_bottles
11,WHOLESALE19802-20250514101031737,BOTTELING_PLAN_1021354,2025-05-10,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-15,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00002180,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,500,22500
12,WHOLESALE150197-20250513192630145,BOTTELING_PLAN_1021354,2025-05-10,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-05-14,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-May25_00002138,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,400,18000
13,WHOLESALE19802-20250515102152906,BOTTELING_PLAN_1021548,2025-05-15,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-15,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00002423,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,999,44955
14,WHOLESALE19802-20250509123428712,BOTTELING_PLAN_1021267,2025-05-08,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-09,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00001460,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1000,45000
15,WHOLESALE150197-20250523153607371,BOTTELING_PLAN_1021267,2025-05-08,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-05-23,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-May25_00003797,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,200,9000
16,WHOLESALE19802-20250528110250448,BOTTELING_PLAN_1021743,2025-05-19,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-28,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00004466,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1000,45000
17,WHOLESALE150197-20250531173320643,BOTTELING_PLAN_1022120,2025-05-28,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-05-31,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-May25_00005068,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,100,4500
18,WHOLESALE19802-20250602115223607,BOTTELING_PLAN_1022305,2025-06-02,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00000088,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,150,6750
19,WHOLESALE19802-20250602115223607,BOTTELING_PLAN_1022317,2025-06-02,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00000088,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,175,7875
20,WHOLESALE19802-20250602115223607,BOTTELING_PLAN_1022326,2025-06-02,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00000088,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,675,30375
21,WHOLESALE19802-20250610105129893,BOTTELING_PLAN_1019750,2025-03-31,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-11,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001500,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1,45
22,WHOLESALE19802-20250610105129893,BOTTELING_PLAN_1019927,2025-04-04,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-11,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001500,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1,45
23,WHOLESALE19802-20250610105129893,BOTTELING_PLAN_1021267,2025-05-08,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-11,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001500,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,26,1170
24,WHOLESALE19802-20250610105129893,BOTTELING_PLAN_1021548,2025-05-15,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-11,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001500,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,14,630
25,WHOLESALE19802-20250610105129893,BOTTELING_PLAN_1022120,2025-05-28,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-11,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001500,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,767,34515
